Site;Página;Indicador;Tipo;Texto atual
ESI;Layout (global);1.1;meta-title;"ESI Exata | Segurança, CFTV e IA para Varejo, Portos e Indústria"
ESI;Layout (global);1.2;meta-description;"20 anos integrando câmeras, inteligência artificial e detecção térmica para eliminar perdas. Soluções sob medida para varejo, portos, energia, agronegócio e healthcare."
ESI;Layout (global);1.3;schema-name;"ESI Exata"
ESI;Layout (global);1.4;schema-description;"20 anos integrando câmeras, inteligência artificial e detecção térmica para eliminar perdas em varejo, portos, energia, agronegócio e healthcare."
ESI;Layout (global);1.5;schema-endereco;"R. Jorge B. Crocetti, 231, Curitiba, PR, 82800-080"
ESI;Layout (global);1.6;schema-telefone;"+55-41-3527-7007"
ESI;Layout (global);1.7;schema-email;"contato@esiexata.com.br"
ESI;Header;1.8;nav-link;"Setores"
ESI;Header;1.9;nav-link;"Soluções"
ESI;Header;1.10;nav-link;"Cases"
ESI;Header;1.11;nav-link;"P&D"
ESI;Header;1.12;nav-link;"Contato"
ESI;Header;1.13;cta-button;"Fale com um especialista"
ESI;Sub-brands bar;1.14;label;"GRUPO ESI · MATRIZ CURITIBA PR · FILIAL AGRO SINOP MT"
ESI;Sub-brands bar;1.15;pill;"esi|exata"
ESI;Sub-brands bar;1.16;pill;"esi|agro"
ESI;Sub-brands bar;1.17;pill;"esi|p&d"
ESI;Sub-brands bar;1.18;pill;"esi|store"
ESI;Footer;1.19;tagline;"Soluções de segurança inteligente para os setores mais exigentes do Brasil."
ESI;Footer;1.20;link-group;"Monitoramento por Vídeo"
ESI;Footer;1.21;link-group;"Câmeras Térmicas & Laser"
ESI;Footer;1.22;link-group;"Inteligência Artificial"
ESI;Footer;1.23;link-group;"Câmera Microfônica"
ESI;Footer;1.24;link-group;"Bodycam"
ESI;Footer;1.25;link-group;"Integra"
ESI;Footer;1.26;link-group;"Varejo"
ESI;Footer;1.27;link-group;"Portos"
ESI;Footer;1.28;link-group;"Energia"
ESI;Footer;1.29;link-group;"Agronegócio"
ESI;Footer;1.30;link-group;"Healthcare"
ESI;Footer;1.31;link-group;"Sobre a ESI Exata"
ESI;Footer;1.32;link-group;"Cases"
ESI;Footer;1.33;link-group;"P&D"
ESI;Footer;1.34;link-group;"ESI Store"
